CaseID,Activity,Timestamp,MineName,MineType,MineTypeGroup,Inspectorate,MineStatus,AdministeredBy,MineCluster,Region,MineAddress,MineAddressTown,MineAddressState,MineAddressPostalCode,MineDecLat,MineDecLon,EventID,EventType (1A),HazardClass,HazardType,Incident Type (5A),Surface or Underground (5A),Hazard Code Description (5A),InspectionType (MRE),Status (MRE),DisplayTitle (CA),Section (CA),Directive_disp (CA),CANumber
MI01569,Incident,2017-03-09 10:45:00,Rolleston Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-24.44,148.41844,934,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI03427,Incident,2017-03-09 14:00:00,Jellinbah Plains,Coal Mine - Surface,Coal Mine - Surface,COAL,Closed,Rockhampton Office,,Central,Fitzroy Development Road,BLUFF,QLD,4702.0,-23.32663,148.92329,935,High Potential Incident,Vehicle,Collision with another vehicle,High potential no lost time,surface,Human error/actions,,,,,,
MI01150,Incident,2017-03-09 21:45:00,Newlands Mine - Open Cut,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,Newlands Access Road,Via Glenden,QLD,4743.0,-21.21217,147.88636,936,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI00149,Inspection,2017-03-10 00:00:00,Coppabella - Open Cut,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,,,,,,-21.87,148.42141,937,,,,,,,Inspection,Closed,,,,
MI01908,Action,2017-03-10 04:03:00,Dugald River Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,MI- Cloncurry,Northern,Burke Development Road,Cloncurry,QLD,4824.0,-20.25369,140.159832,938,,Explosives,Misfire,,,,Inspection,Closed,Substandard Condition or Practice,,,1.0
MI02663,Incident,2017-03-10 09:00:00,Ensham Underground Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Rockhampton Office,,,,,,,-23.5,148.49282,939,High Potential Incident,Electrical,Cable Damage,High potential no lost time,underground,Electrical equipment,,,,,,
MI01258,Incident,2017-03-10 12:00:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,940,High Potential Incident,Electrical,Cable Damage,High potential no lost time,surface,Electrical equipment,,,,,,
MI00809,Incident,2017-03-10 14:00:00,Mt Isa - Lead & Zinc Concentrator,Metalliferous - Minerals Processing,Metalliferous Mine - Surface,MMQ,Operating,Mount Isa Office,MI- Mount Isa,Northern,,,,,-20.72219,139.481114,941,High Potential Incident,Gravity,Fall of a structure,High potential no lost time,surface,Falling/flying material/objects,,,,,,
MI01646,Incident,2017-03-10 15:02:00,Carborough Downs,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,,Central,Peak Downs Highway,Coppabella,QLD,4741.0,-21.99368,148.249,942,High Potential Incident,Gas Management,Withdrawal due to high gas levels or ventilation failure,High potential no lost time,surface,Other,,,,,,
MI00762,Incident,2017-03-10 22:30:00,Capricorn Copper Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,,,,,,,-19.68885,139.36651,943,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01258,Incident,2017-03-10 23:25:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,944,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI01258,Incident,2017-03-11 09:20:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,945,High Potential Incident,Gravity,Other,High potential no lost time,surface,Human error/actions,,,,,,
