Dataset_Type,Dataset_Category,Checkpoint_Percentage,Method,N_Datasets,N_Experiments,ARI_Mean,ARI_Std,ARI_Best,NMI_Mean,NMI_Std,NMI_Best,Silhouette_Score_Mean,Silhouette_Score_Std,Silhouette_Score_Best,F-score_Mean,F-score_Std,F-score_Best,Log_Precision_Mean,Log_Precision_Std,Log_Precision_Best,Log_Fitness_Mean,Log_Fitness_Std,Log_Fitness_Best
Real-life,BPIC2013_Incidents,20,DupliMend,1,5,,,,,,,0.8828140769114411,0.0494338644844741,0.9395036477091513,0.51,0.0,0.51,0.51,0.0,0.51,0.51,0.0,0.51
Real-life,BPIC2013_Incidents,40,DupliMend,1,5,,,,,,,0.8359739025726688,0.043567451588694794,0.9418186263505596,0.5357716722799128,0.0185048336547004,0.5576152803965339,0.5149395956359466,0.0094598703295539,0.5317020513894005,0.559771735173315,0.0409743313271967,0.6150371777988584
Real-life,BPIC2013_Incidents,60,DupliMend,1,5,,,,,,,0.8611387550730889,0.07143687545759647,0.934203281468684,0.5824716120012403,0.0157119373085394,0.602452767104406,0.6467839046812122,0.0776388609761872,0.7358470779282444,0.5368526276620876,0.0421262650022128,0.6062048534507394
Real-life,BPIC2013_Incidents,80,DupliMend,1,5,,,,,,,0.8673931655089634,0.047837666334679466,0.9020335301395276,0.6665935475476333,0.0251604859908734,0.7013206165798993,0.671299153494828,0.087766890804132,0.825819119419427,0.6729003287697806,0.0611823279640111,0.7519643452779524
Real-life,BPIC2013_Incidents,100,DupliMend,1,5,,,,,,,0.8237160330175998,0.04404672548436904,0.9086313141594644,0.6986766841253639,0.0240514105220503,0.7391057611397559,0.7246412223658716,0.0733959765589323,0.8129126012751785,0.6815163967249156,0.0508704242748603,0.7425834179898645
Real-life,BPIC2013_Open_Problems,20,DupliMend,1,5,,,,,,,0.868603588152115,0.057134804157912424,0.9025143348549388,0.246204562981027,0.0155840682267295,0.2629419094703802,0.3329588946032149,0.0065301610275024,0.3390641239372771,0.375463521299707,0.0055964432454206,0.3809745546249367
Real-life,BPIC2013_Open_Problems,40,DupliMend,1,5,,,,,,,0.8336419298949833,0.03704621124873813,0.9509128329011024,0.2754267186895049,0.012533164541302,0.2897200539220149,0.3313918626037527,0.007326818343808,0.3394570228824765,0.3800399873105679,0.0103213725753827,0.3899345024540332
Real-life,BPIC2013_Open_Problems,60,DupliMend,1,5,,,,,,,0.8252041274388223,0.07010984903770198,0.9251484784861062,0.2501419730123853,0.0037111291207925,0.2560731378239468,0.3283611563733725,0.005080597604479,0.3362992559139665,0.382962709225482,0.0041459799208882,0.3896742818099273
Real-life,BPIC2013_Open_Problems,80,DupliMend,1,5,,,,,,,0.8959108429802667,0.03372753218398854,0.9406856552931763,0.3295236629927004,0.0139904231427952,0.346878149557643,0.3305122728503629,0.0041907369019295,0.3371746095939362,0.379654787723564,0.0057375316196597,0.3876740514807377
Real-life,BPIC2013_Open_Problems,100,DupliMend,1,5,,,,,,,0.8972505626459648,0.07934434683002586,0.9726053179140874,0.3600089211738767,0.0049267356569594,0.365630214138674,0.3273529184737974,0.0054025890597191,0.3350331745372348,0.3829647028566019,0.00702234281679,0.390925238620423
Real-life,BPIC2017,20,DupliMend,1,5,,,,,,,0.8216467595436642,0.06312611421769909,0.9690482740700475,0.7556328425153713,0.0085826507227401,0.7694275163477483,0.6303151134227285,0.0109510452382729,0.6423103880243556,0.9475588368195804,0.0111006004106607,0.9596843456042023
Real-life,BPIC2017,40,DupliMend,1,5,,,,,,,0.8975927881729595,0.04558555380447055,0.9498638501462047,0.8012462373827496,0.0080592770716139,0.8111533869113894,0.693054911862742,0.0181171620770846,0.716498200997597,0.933524704131514,0.0120835827287274,0.9497785386439768
Real-life,BPIC2017,60,DupliMend,1,5,,,,,,,0.8865954112640337,0.05600340105889054,0.926471841988212,0.8288970481540424,0.0067996273862781,0.8372704786878232,0.6837835291799939,0.0131946030061826,0.6985110265240312,1.0,0.0,1.0
Real-life,BPIC2017,80,DupliMend,1,5,,,,,,,0.8369871288542621,0.05733551396716398,0.9050846680228819,0.9597293445872076,0.0082059611686607,0.9697608679412906,0.8320598903838171,0.0127111687717103,0.8472382891697013,1.0,0.0,1.0
Real-life,BPIC2017,100,DupliMend,1,5,,,,,,,0.834545997376568,0.03924272277627635,0.924878585737253,0.65,0.0045599039287559,0.6540258765013652,0.52,0.0092624474885586,0.5316498762420486,0.9000000000000001,0.0089969407843292,0.9107275838605084
Real-life,Environmental_Permits,20,DupliMend,1,5,,,,,,,0.1242444497276656,0.1740200201271983,0.290892688389087,0.213572037128767,0.0079054241083564,0.2200322808416846,0.126625287686899,0.0056066107941198,0.1313379251046438,0.6826499329301198,0.0056277176374725,0.6896086589398202
Real-life,Environmental_Permits,40,DupliMend,1,5,,,,,,,0.0675644514542482,0.2626685860237718,0.2830560393769619,0.2243977709547365,0.0155076233405168,0.250643231050502,0.1347252776481752,0.0110961996311067,0.1535515201624551,0.6735637230903092,0.0068949575539204,0.681664526783009
Real-life,Environmental_Permits,60,DupliMend,1,5,,,,,,,0.2368775762557241,0.0596955309394635,0.3274806742087699,0.2223058028748917,0.0238065965027917,0.2524587144170931,0.1341160888406281,0.0172635325456259,0.1566400399416178,0.656332601654641,0.0064359406804219,0.6662535578318584
