2026-08-26 09:03:57,292 - DEBUG - matplotlib data path: /home/savi/duplimend_repro/venv311/lib/python3.11/site-packages/matplotlib/mpl-data
2026-08-26 09:03:57,296 - DEBUG - CONFIGDIR=/home/savi/.config/matplotlib
2026-08-26 09:03:57,297 - DEBUG - interactive is False
2026-08-26 09:03:57,298 - DEBUG - platform is linux
2026-08-26 09:04:05,744 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 38, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,746 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 39, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,763 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 40, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,819 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 41, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,821 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 42, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,838 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 43, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,842 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 44, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,913 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 45, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,923 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 46, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,928 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 47, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,103 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 48, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,240 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 49, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,255 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 50, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,259 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 51, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,268 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 52, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,313 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 53, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,337 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 54, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,411 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 55, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,415 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 56, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,482 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 57, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,487 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 58, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,582 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 59, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,595 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 60, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,609 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 61, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,645 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 62, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,654 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 63, 'reason': 'update_missing_cluster', 'feature_count': 64}
